"Data S1. Descriptions of the location, keystone characteristics, and community response for each study included.  ",,,,,,,,,,,,
,,,,,,,,,,,,
id,Latin name of keystone species,Common name of keystone species,Citation,Location,Keystone Role,Human Disturbance Context,Trophic level (simplified),Community Response Category,Body mass (g),Effect Size (RR),Variance of effect size,Data Extraction & Comparisons
1,Alosa pseudohar-engus,Alewife,Post et al. 2008; Ecology,"Connecticut, USA",consumer,Indirect removal,low,Life history,200,1.7,0.8,Crustacean prey length in low and high levels of alewife presence from Fig. 3.
2,Alosa pseudohar-engus,Alewife,Brooks and Dobson 1965; Science,"Northern Connecticut, USA",consumer,Indirect removal,low,Life history,200,0.18,0.8,Plankton size with and without alewives in natural lakes  (data from Figure 4).
3,Ambystoma talpoideum,Mole Salamander,Fauth 1999; Ecology Letters,"South Carolina, USA",consumer,Indirect removal,mid,Biodiversity,17,0.3,1.33,Mean anuran species richness in Urodela presence and absence with data from Table 1.
4,Ammodytes marinus,Lesser Sandeel,"Furness and Tasker 2000, Marine Ecology","Shetland, UK",prey,Indirect removal,low,Life history,1.97,0.73,1.33,Mean seabird breeding success in low and high sandeel abundance with data from Table 4.
5,Ammodytes tobianus,Lesser Sand Eel,Frederiksen et al. 2006; Journal of Animal Ecology,North Sea,prey,Indirect removal,low,Life history,2.97,0.2,1.33,Guillemot breeding success (metric?) in high (historical) and low (current)  sandeel abundance from Figure4. 
6,Balaenoptera musculus,Blue Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,1.90E+08,0.84,0.58,"Iron deposition (metric) in high (historical) and low (current) gradients of whales from Table 1. Historical numbers of whales were used as our ""high"" whale presence, and current numbers were used as ""low"" whale presence."
7,Balaenoptera musculus brevicauda,Pygmy Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Data Deficient,high,Chemical and energy cycling,50000000,0.34,0.11,"Iron deposition (metric) in high and low gradients of whales from Table 1. Historical numbers of whales were used as our ""high"" whale presence, and current numbers were used as ""low"" whale presence."
8,Balaenoptera physalus,Fin Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,80000000,0.11,0.11,Amount of iron deposition in high (historic) and low (current) gradients of whales from Table 1. 
9,Balistapus undulatus,Red-lined triggerfish,McClanahan 2000; Biological Conservation,MPAs off East Africa,consumer,Data Deficient,low,Abundance,84.74,0.59,0.111,Urchin wet biomass inside (high) and outside (low) marine protected areas from Figure1
10,Bettongia lesueur,Burrowing bettong,James and Eldridge 2007; Biological Conservation,South Australia,modifier,Indirect removal,low,Chemical and energy cycling,1500,2.77,1.33,Concentrations of labile carbon (metric) in the soil in bettong present vs absent areas from Figure 3.
11,Bettongia lesueur,Burrowing bettong,Noble et al. 2006; The Rangeland Journal,Eastern Australia,modifier,Indirect removal,low,Abundance,1500,0.6,0.83,Brush (Austrostipa) dry biomass near and far away from burring bettong burrows from Figure7.
12,Canis Lupus,Gray Wolf,Miller et al. 2012; Canadian Journal of Zoology,"Yellowstone NP, USA",consumer,Direct removal,high,Behavioral,30750,3.02,1.92,Coyote activity (via scat presence) in a gradient away from wolf dens from Figure 1.
13,Canis Lupus,Gray Wolf,Mclaren and Peterson 1994; Science,"Isle Royale, USA",consumer,Direct removal,high,Abundance,30750,0.88,1.29,Moose abundance in contexts of high (historical) and low (current) wolf abundance from Figure 3. 
14,Canis Lupus,Gray Wolf,Mclaren and Peterson 1994; Science,"Isle Royale, USA",consumer,Direct removal,high,Life history,30750,0.72,0.16,Balsam fir ring-width in high (historic) and low (current) wolf abundance from Figure 3.
15,Carcharhinus leucas,Bull Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Indirect removal,high,Abundance,316500,1.03,0.16,Average abundance of elasmobranch mesopredators in a high (historic and low (current) shark presence from Fig. 1. 
16,Carcharhinus limbatus,Blacktip Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,122800,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
17,Carcharhinus obscurus,Dusky Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,346500,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
18,Carcharhinus plumbeus,Sandbar Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,117900,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
19,Castor canadensis,North American Beaver,Naiman et al. 1988; BioScience,"Quebec, Canada",modifier,Direct removal,low,Chemical and energy cycling,21820,2.32,0.1,carbon inputs (metric?) in beaver-present vs. beaver-absent ponds from Table 1.
20,Castor canadensis,North American beaver,Hossack et al. 2015; Biological Conservation,Midwestern USA,modifier,Direct removal,low,Abundance,21820,1.21,1.33,Average amphibian abundance in beaver-present wetlands compared to beaver-absent wetlands from Figure 2.
21,Castor canadensis,North American Beaver,Correll et al. 1999; Biogeochemistry,"Maryland, USA",modifier,Direct removal,low,Landscape Effects,21820,0.5,0.33,Mean water discharge (metric) in beaver- present vs. beaver-absent ponds from Table 2.
22,Castor fiber,Eurasian Beaver,Janiszewski et al. 2014; Baltic Forestry,Southern Lithuania,modifier,Direct removal,low,Service,19000,0.71,1.33,Proportion of beaver dams used by otters in beaver present vs absent areas.
23,Castor fiber,Eurasian Beaver,Law et al. 2019; Diversity and Distributions,South-central Sweden,modifier,Direct removal,low,Biodiversity,19000,0.96,1.33,Beetle species richness in beaver-present ponds vs beaver absent ponds with data from Table 1.
24,Castor fiber,Eurasian Beaver,Law et al. 2019; Diversity and Distributions,South-central Sweden,modifier,Direct removal,low,Biodiversity,19000,0.14,0.02,Aquatic plant species richness in beaver-present ponds vs beaver-absent ponds with data from Table 1.
25,Chaetodipus baileyi,Bailey's Pocket Mouse,Ernest and Brown 2001; Science,Southwestern USA,modifier,Data Deficient,low,Chemical and energy cycling,26.3,0.15,0.02,Percentage of previous kangaroo rat energy cycling compensated by pocket mice in high (historic) and low (current) kangaroo rat presence with data from Figure 2. 
26,Cottus gobio,European Bullhead,Woodward et al. 2008; Oikos,"Southern England, UK",consumer,Data Deficient,low,Abundance,17.66,3.05,1,Trout density between low and high bullhead density with data from Figure 1.
27,Cottus gobio,European Bullhead,Woodward et al. 2008; Oikos,"Southern England, UK",consumer,Data Deficient,low,Chemical and energy cycling,17.66,1.16,0.1,Mean decomposition rates (metric) of oak leaves in bullhead-present vs. absent (exclosure) areas with data from Figure 4.  
28,Cynomys ludovicianus,Black-tailed Prairie Dog,Duchardt. et al 2021; Ecology,"Wyoming, USA",modifier,Indirect removal,low,Abundance,958,0.89,0.1,Mean bird abundances in high and low prairie dog burrow densities with data from Figure 3.
29,Cynomys ludovicianus,Black-tailed Prairie Dog,Cully Jr. et al 2010; Ecography,"Western Great Plains, USA",modifier,Indirect removal,low,Abundance,958,1.17,0.4,Average small mammal abundance data from Table 2. in high prairie dog densities (on colony) and low densities (off-colony).
30,Dascyllus trimaculatus,Three Spotted Damselfish,Hinds and Ball 1987; Aquatic Botany,"Off the coast of La Parguera, Puerto Rico",modifier,Direct removal,low,Biodiversity,86,0.44,0.25,Algal species richness between damselfish present vs. absent (exclosure) sites with data from Figure 2.  
31,Dascyllus trimaculatus,Three Spotted Damselfish,Axline-Minotti 2003; Msc. Diss. Ohio State University,Caribbean barrier reefs,modifier,Direct removal,low,Biodiversity,86,0.84,1.33,Percentage of algal cover in a damselfish presence vs. absence from Figure 5.1
32,Dipodomys ordii,Ord's Kangaroo Rat,Kerley et al. 1997; Oecologia,"Chihuahuan Desert, USA",modifier,Not Known,low,Abundance,60.4,5.45,1.33,Mass of new plant growth cut in kangaroo rat present vs absent (exclosure) areas from Table 2. 
33,Dipodomys spectabilis,Banner-tailed kangaroo rat,Krogh et al 2002; Journal of Arid Environments,"South Central New Mexico, USA",modifier,Indirect removal,low,Abundance,136,3.26,1.33,Proportion of shrubland cover in kangaroo rat present vs absent (abandoned) sites from Figure 3.
34,Dipodomys stephensi,Stephen's Kangaroo Rat,Brock and Kelt 2004; Biological Conservation,"California, USA",modifier,Indirect removal,low,Abundance,69.8,1.08,1.33,Density of ground cover in kangaroo rat present vs. absent (exclosure) sites with data from Figure 1.  
35,Enhydra lutris,Sea Otter,Konar 2000; Marine Ecology Progress Series,Westen USA,consumer,Direct removal,low,Abundance,23500,0.62,1.97,Average number of kelp stipes in high (historic) and low (current) sea otter presence from Figure 7. 
36,Eschrichtius robusta,Gray Whale,Oliver and Slattery 1985; Ecology,"Western Vancouver Island, Canada",modifier,Direct removal,low,Abundance,28500000,3.87,1.76,Total amphipod abundance in high (on whale excavation sites) and low (off whale excavation sites) whale presence with data from Figure 3.
37,Esox lucius,Northern Pike,Spens and Ball 2008; Canadian Journal of Fisheries and Aquatic Sciences,Northern Sweden,consumer,Not Known,high,Chemical and energy cycling,35000,0.26,0.03,Total phosphorus in pike present vs. absent lakes from the Results section.
38,Esox lucius,Northern Pike,Spens and Ball 2008; Canadian Journal of Fisheries and Aquatic Sciences,Northern Sweden,consumer,Not Known,high,Abundance,35000,0.64,0.07,Total fish abundance in pike present vs. absent lakes from the Results section.
39,Esox lucius,Northern Pike,Venturelli and Tonn 2005; Journal of the North American Benthological Society,"Northern Alberta, Canada",consumer,Not Known,high,Abundance,35000,0.98,0.83,Mean amphipod abundance in pike presence vs absence with data from Figure 3.
40,Eupomacent-rus planifrons,Threespot Damselfish,Williams 1990; The American Naturalist,"Discovery bay, Jamaica",modifier,Direct removal,low,Abundance,7.92,0.67,1.66,Mean urchin density in damselfish presence and absence (removal) with data from Figure 1.
41,Gadus morhua,Atlantic Cod,Worm and Meyers 2003; Ecology,North Atlantic Ocean,consumer,Data Deficient,low,Abundance,96000,0.64,0.12,Mean crustacean biomass in high (historic) and low (current) densities of cod with data from Figure 3.  
42,Galeocerdo cuvier,Tiger Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,807400,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
43,Geomys busarius,Plains Pocket Gopher,Rogers et al 2013; The American midland Naturalist,"Kansas, USA",modifier,Direct removal,low,Abundance,204,0.21,1.64,Mean grass abundance in high vs. low pocket gopher burrow presence from Table 1.
44,Gopherus polyphemus,Gopher tortoise,Catano and Stout 2015; Biodiversity and Conservation,"Florida, USA",modifier,Data Deficient,low,Biodiversity,5500,1.08,1.7,Mean species diversity in a gradient away from gopher tortoise burrows from Figure 2.
45,Haematopus bachmani,Black oystercatcher,Lindberg et al. 1987;Marine Ecology Progress Series,"San Nicholas Island, USA",consumer,Indirect removal,mid,Abundance,692,0.04,1.58,Average percentage of limpets eaten in the presence and absence of black oystercatchers with data from Table 2.
46,Lepus americanus,Snowshoe hare,Peers et al. 2020; Journal of Animal Ecology,"Yukon, Canada",prey,Indirect removal,low,Chemical and energy cycling,1710,1.38,1.66,Proportion of lynx carcasses scavenged in a  high (historic) and low (current) lynx presence with data from Supplementary Table 1. 
47,Loxodonta africana,African elephant,Dublin 1990; Journal of Animal Ecology,"Serengeti, Kenya",modifier,Indirect removal,low,Landscape Effects,3940034,2.51,1.66,Average Serengeti burn rate (metric) in high (historic) and low (current) elephant presence with data from Table 3.  
48,Lynx pardinus,Iberian lynx,Palomares et al 1994; Conservation Biology,"Donana National Park, Spain",consumer,Indirect removal,high,Abundance,9400,1.38,0.5,Average annual proportion of small rabbits consumed in a gradient of lynx presence with data from Table 1.
49,Macrotis lagotis,Greater Bilby,James and Eldridge 2007; Biological Conservation,Central Australia,modifier,Indirect removal,low,Chemical and energy cycling,1350,0.6,0.83,Concentrations of labile carbon (metric) in the soil in bettong present vs absent areas from Figure 3.
50,Megaptera novaeangliae,Humpback Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,30000000,0.19,0.11,Amount of iron deposition (metrice) in high (historic) and low (current) whale presence from Table 1. 
51,Micropterus salmoides,Largemouthed Bass,Mittelbach et al. 1995; Ecology,"Michigan, USA",consumer,Data Deficient,low,Abundance,10100,2.99,1.66,Mean copepod and Cladocera length high (current) and low (historic) bass presence with data from Figure 6.
52,Micropterus salmoides,Largemouthed Bass,Carpenter et al. 1987; Ecology,"Indiana, USA",consumer,Data Deficient,low,Chemical and energy cycling,10100,0.06,0.11,Average primary production (metric) in bass present vs absent lakes with data from Figure 6.
53,Micropterus salmoides,Largemouthed Bass,Carpenter et al. 1987; Ecology,"Indiana, USA",consumer,Data Deficient,low,Abundance,10100,0.69,1.5,Average dry zooplankton biomass in bass present vs absent lakes with data from Figure 3.
54,Myliobatis californica,Bat Ray,Van Blaricom 1982; Ecological Monographs,"Southern California, USA",modifier,Indirect removal,high,Abundance,82100,0.64,0.83,Mean infauna dnesities in ray present vs absent areas with data from Table 3.
55,Notophthalm-us viridescens,Eastern Newt,Fauth 2002; Ecology Letters,"North Carolina, USA",consumer,Indirect removal,mid,Biodiversity,8,0.06,1.33,Mean anuran species richness in Urodela present vs. absent areas with data from Table 1.
56,Notophthalm-us viridescens,Eastern Newt,Kurzava and Morin 1994; Oecologia,"New Jersey, USA",consumer,Indirect removal,mid,Abundance,8,1.07,0.88,Mean larvae (Bufo americanus) survival in newt present vs. absent areas with data from Figure 2.
57,Ochotona curzoniae,Plateau Pika,Lai and Smith 2003; Biodiversity and Conservation,"Qinghai–Xizang (Tibetan) plateau, China",modifier,Direct removal,low,Abundance,159.47,3.43,1.33,Mean bird abundance in high (poisoned sites) and low (poisoned sites) pika presence with data from Figure 2. 
58,Ochotona curzoniae,Plateau Pika,Yu et al. 2017; Geoderma,"Qinghai–Xizang (Tibetan) plateau, China",modifier,Direct removal,low,Chemical and energy cycling,159.47,0.16,1.33,"Total soil nutrients (nitrogen, carbon, and phosphorus)  in pika present vs. absent areas with data from Figure 4."
59,Ochotona princeps,American Pika,Huntly 1987; Ecology,"Rocky Mountains, USA",modifier,Indirect removal,low,Abundance,158,0.87,0.66,Total percent plant cover in pika present vs absent areas with data from Table 1.
60,Odocoileus virginianus,White tailed Deer,Waller and Alverson 1997; Wildlife Society Bulletin,"Wisconsin, USA",consumer,Indirect removal,low,Abundance,55509,1.77,1.33,Mean number of hemlock saplings in a gradient of deer grazing with data from Figure 2.
61,Oncorhynch-us nerka,Pacific Salmon,Helfield and Naiman 2006; Ecosystems,"Southwestern Alaska, USA",modifier,Direct removal,high,Chemical and energy cycling,7710,0.28,1.33,We compared the total annual nitrogen influx in salmon present vs absent areas with data from Figure 2.
63,Oryctolagus cuniculus,European Rabbit,Monterroso et al. 2016; Scientific Reports,Iberian Peninsula,prey,Indirect removal,low,Life history,2150,0.12,1.66,Abundance of breeding female lynx in a gradient of rabbit presence with data from Figure 1.
64,Oryctolagus cuniculus,European Rabbit,Monterroso et al. 2016; Scientific Reports,Iberian Peninsula,prey,Indirect removal,low,Life history,2150,0.99,0.46,Abundance of breeding eagle pairs in a gradient of rabbit presence with data from Figure 1.
65,Oryctolagus cuniculus,European Rabbit,Delibes-Mateos et al. 2008; Biological Conservation,Southern Spain,prey,Indirect removal,low,Abundance,2150,0.11,0.4,Proportion of rabbit in Iberian predators' diets in high and low rabbit abundance with data from Table 2.
66,Otomys sloggetti,Ice Rat,Mokotjomela et al. 2009; Acta Oecologica,Lesotho,modifier,Indirect removal,low,Abundance,106,0.143,0.54,Average annual ground cover differences between ice rat present vs absent areas with data from Figure 1.
67,Otomys sloggetti,Ice Rat,Grab 2012; South African Geographical Journal,Eastern Lesotho,modifier,Indirect removal,low,Abundance,106,0.15,0.45, Mean vegetation cover in a gradient of ice rat burrows from Figure 2.
68,Panthera onca,Jaguar,Terborg et al. 2001; Science,Venezuela,consumer,Indirect removal,high,Abundance,94500,0.11,0.83,Number of  leaf cutter ant colonies on jaguar present vs. absent islands with data from Table 1.
69,Panthera onca,Jaguar,Terborg et al. 2001; Science,Venezuela,consumer,Indirect removal,high,Biodiversity,94500,0.14,0.91,Number of tree species on jaguar present vs. absent islands with data from Table 1.
70,Perca fluviatilis,European Perch,Diehl 1993; Oikos,Southern Sweden,consumer,Not Known,high,Abundance,4750,0.42,0.08,Average macroinvertebrate biomass in a gradient of perch density with data from Figure 1.
71,Perca fluviatilis,European Perch,Nurminen et al. 2018; Aquatic Ecology,Southern Finland,consumer,Not Known,high,Abundance,4750,4.56,1.74,Total zooplankton biomass in perch present vs. absent conditions from Table 1.
72,Perca fluviatilis,European Perch,Diehl 1992; Ecology,Southern Sweden,consumer,Data Deficient,high,Abundance,4750,0.03,0.5,Predatory invertebrates biomass in a gradient of perch present vs. absent areas with data from Figure 2.
73,Scomber scombrus,Pacific Sardine,Becker and Beissinger 2006; Conservation Biology,"California, USA",consumer,Data Deficient,high,Chemical and energy cycling,3400,0.11,1.33,Percent nitrogen in murrelet feathers in high (historic) vs low (current) sardine presence with data from Figure 2. 
74,Siren intermedia,Lesser Siren,Fauth 2002; Ecology Letters,"North Carolina, USA",consumer,Indirect removal,mid,Biodiversity,50,1.6,1.33,Mean anuran species richness in Urodela present vs. absent areas with data from Table 1.
75,Spermophilus citellus,European Ground Squirrel,Lindtner et al. 2019; European Journal of Wildlife Research,"Western Carpathians, Slovakia",modifier,Indirect removal,low,Abundance,290,2.32,0.1,On scarab beetle occurrence in a gradient of squirrel colony presence from Table 1.
76,Sphyrna lewini,Scalloped Hammerhead,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Indirect removal,high,Abundance,152400,0.64,1.33,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
77,Stegastes Fasciolatus,Yelloweye Damselfish,Hixon and Brostoff 1983; Science,"Hawaii, USA",modifier,Data Deficient,low,Biodiversity,68,1.05,0.5,Shannon’s diversity indices in damselfish presence vs absence with data form Figure 1.
78,Thomomys bottae,Botta's Pocket Gopher,Cantor and Whitman 1989; Ecology,"Arizona, USA",modifier,Data Deficient,low,Abundance,115,1.41,1,Number new aspen per plot in a gradient away from gopher burrows from Figure 1.
79,Uncia uncia,Snow leopard,Lovari et al. 2009; Animal Conservation,"Sagarmatha National Park, Nepal",consumer,Indirect removal,high,Life history,44167,0.14,0.01,Ratio of young Tahr per female in a high (historic) and low (current)  leopard presence with data from Figure 3. 
80,Urus arctos,Brown Bear,Helfield and Naiman 2006; Ecosystems,"Southwestern Alaska, USA",modifier,Indirect removal,high,Chemical and energy cycling,139441,0.51,0.01,Total annual nitrogen influx in soils in a gradient of bear presence with data from Figure 2.
81,Urus arctos,Brown Bear,Quinn et al. 2018; Ecology,"Southeastern Alaska, USA",modifier,Indirect removal,high,Chemical and energy cycling,139441,0.52,0.5,Nitrogen in spruce tissue in a gradient of bear activity with data from Figure 1.
82,Modiolus modiolus,Horse mussel,Fariñas-Franco et al. 2013; Journal of Sea Research,Northern Ireland,modifier,Data Deficient,low,Biodiversity,90.4,1.05,0.01,"Habitat complexity(metric) in the presence and absence of mussels with data form Figure 3,"
83,Pisaster ochraceus,Purple Sea Star,Paine 1966; The American Naturalist,"Washington, USA",consumer,Data Deficient,high,Abundance,30.8,1.18,0.5,Mussel abundance in starfish present vs absent areas from the main text.
84,Sesarma messa,Mangrove Crab,"Smith et al. 1991; Estuarine, Coastal and Shelf Science",Off the Northeast Coast of Australia,modifier,Data Deficient,low,Abundance,0.34,0.5,0.5,Average annual number of mature tree propagules in crab present vs absent areas from Figure 6.
85,Sesarma semperi longicristatum,Mangrove Crab,"Smith et al. 1991; Estuarine, Coastal and Shelf Science",Off the Northeast Coast of Australia,modifier,Data Deficient,low,Chemical and energy cycling,0.34,5.39,1.5,Average soil ammonia concentrations in crab present vs absent areas from Figure 5.
86,Paranephrops planifrons,Freshwater Crayfish,Collier et al. 1997; Stream Ecosystems,New Zealand,consumer,Indirect removal,low,Life history,12,0.35,1.5,Average leaf weight in crayfish present vs absent areas with data from Table 2.
87,Paranephrops planifrons,Freshwater Crayfish,Collier et al. 1997; Stream Ecosystems,New Zealand,consumer,Indirect removal,low,Landscape Effects,12,0.28,1.5,Average suspended fine sediment in crayfish present vs absent areas with data from Table 2.
88,Paranephrops planifrons,Freshwater Crayfish,Collier et al. 1997; Stream Ecosystems,New Zealand,consumer,Indirect removal,low,Biodiversity,12,0.97,0.16,Average invertebrate species richness in crayfish present vs absent areas with data from Table 2.
89,Ultracoelostoma assimile,Sooty Beech Scale,Moller and Tilley 1989; New Zealand Journal of Zoology,New Zealand,modifier,Data Deficient,low,Abundance,0.007,1.06,0.33,Average number of honeybees in a gradient of scale presence with data from Figure 8.
90,Ultracoelostoma brittini,Beech Scale,Moller and Tilley 1989; New Zealand Journal of Zoology,New Zealand,modifier,Data Deficient,low,Abundance,0.005,0.19,0.75,Average number of honeybees in a gradient of scale presence with data from Figure 8.
91,Daphnia magna,Daphnia spp.,Sarnelle 2005; Journal of Plankton Research,"California, USA",consumer,Data Deficient,low,Landscape Effects,0.000294,1.01,0.75,Secchi depth in a gradient of Daphnia presence from Figure 4.
92,Daphnia galeata,Daphnia spp.,Sarnelle 2005; Journal of Plankton Research,"California, USA",consumer,Data Deficient,low,Landscape Effects,0.000294,3.04,2,Secchi depth in a gradient of Daphnia presence from Figure 4.
93,Ips typographus,Spruce Bark Beetle,Müller et al. 2008; Biodiversity and Conservation,South-eastern Germany,modifier,Indirect removal,low,Biodiversity,0.000304,1.06,0.33,Average true bug density over a gradient of beetle presence with data from Figure 3.
94,Leptuca uruguayensis,Uruguayan fiddler crab,Kristensen 2008; Mangrove Macrobenthos Special Issue,"Dares Salaam, Tanzania",modifier,Data Deficient,low,Chemical and energy cycling,47,0.19,0.75,Vertical distribution of organic carbon content in crab present vs. absent areas from Table 5.
95,Leptuca leptodactyla,Thin-fingered fiddler crab,Kristensen 2008; Mangrove Macrobenthos Special Issue,"Dares Salaam, Tanzania",modifier,Data Deficient,low,Abundance,0.84,1.01,0.75,Distribution of benthic macroalgae in crab present vs. absent areas from Table 5.
96,Mysis diluviana,Opossum Shrimp,Johnson and Martinez 2012; Lake and Reservoir Management,"Colorado, USA",consumer,Not Known,low,Abundance,0.0004,3.04,2,Mean Daphnia abundance in a gradient of shrimp presence with data from Figure 3.
97,Mysis diluviana,Opossum Shrimp,Johnson and Martinez 2012; Lake and Reservoir Management,"Colorado, USA",consumer,Not Known,low,Abundance,0.0004,0.34,2,Mean fish (kokanee) abundance in a gradient of shrimp presence with data from Figure 3.
98,Aphaenogaster rudis,Funnel  Ant,Warren et al. 2015; Biological Invasions,"Georgia, USA",modifier,Indirect removal,low,Abundance,0.017449,0.51,0.06,Seed dispersal (Asarum arifolium) in ant present vs. absent areas from Figure 4.
99,Anax junius,Common Green Darner,Rudolf and Rasmussen 2013;Ecology,"Texas, USA",consumer,Not Known,low,Chemical and energy cycling,1.019,0.66,0.18,Changes in net primary productivity in darner present vs. absent areas with data from Figure 1.
100,Anax junius,Common Green Darner,Rudolf and Rasmussen 2013;Ecology,"Texas, USA",consumer,Not Known,low,Chemical and energy cycling,1.019,1.11,0.18,Ecosystem respiration in darner present vs. absent areas with data from Table 1.
101,Sesarma reticulatum,Marsh Crab,Crotty et al. 2020; Proceedings of the National Academy of Sciences,South eastern USA,consumer,Data Deficient,low,Landscape Effects,0.8,1.79,0.64,Ecosystem drainage ratios in crab present vs. absent areas with data from Figure 1.
102,Pieris rapae,Cabbage White Butterfly,Poelman and Kessler 2010; Ecological Entomology,The Netherlands,consumer,Not Known,low,Abundance,0.008,1.19,0.1,Average specialist herbivores abundance on Brassica in butterfly present vs. absent areas from Figure 2.
103,Eurosta solidaginis,Goldenrod gall Fly,Start 2018; The American Naturalist,"Southern Ontario, Canada",modifier,Data Deficient,low,Abundance,0.005,0.64,0.1,Gall mortality rate in fly present vs. absent areas from Figure 1.
104,Eurosta solidaginis,Goldenrod gall Fly,Start 2018; The American Naturalist,"Southern Ontario, Canada",modifier,Data Deficient,low,Life history,0.005,1.02,0.1,Directional selection coefficient in fly present vs. absent areas from Figure 2.
105,Callianassa filholi,Ghost Shrimp,Berkenbusch et al. 2000; Marine Ecology Progress Series,New Zealand,modifier,Data Deficient,low,Biodiversity,3,0.62,1,Total number of species in shrimp present vs. absent areas with data from Figure 2.
106,Microrhopala vittata,Chrysomelid beetle,Carson and Root 2000; Ecological Monographs,"New York, USA",consumer,Data Deficient,low,Chemical and energy cycling,0.024,1.63,0.13,Percentage of ambient sunlight in beetle present vs. absent areas from Figure 3. 
107,Solenopsis geminata,Fire ant,Risch and Carroll 1982; Ecology,Eastern Mexico,consumer,Data Deficient,low,Behavioral,0.0017,2.5,0.33,Average arthropod presence on plants in ant present vs. absent areas with data from Table 1.
108,Branchinecta orientalis,Fairy Shrimp,Horváth et al. 2013; Freshwater Biology,"Hungary, Austria, Serbia",prey,Data Deficient,low,Abundance,0.00044,1.94,0.04,Average waterbird dependency in a gradient of shrimp presence from the Results section
109,Astacus astacus,Noble Crayfish,Weinländer and Füreder 2016; Freshwater Science,Austria,consumer,Direct removal,low,Chemical and energy cycling,10.7,0.89,0.83,Average biomass of fish carrion consumed in a gradient of crayfish presence with data from Figure 4.
110,Austropotamobius torrentium,Stone Crayfish,Weinländer and Füreder 2016; Freshwater Science,Austria,consumer,Indirect removal,low,Abundance,8.39,0.73,0.83,Average biomass of shrimp carrion consumed in a gradient of crayfish presence with data from Figure 4.
111,Azteca sericeasur,Arboreal Nesting Ants,Morris et al. 2015; PLOS ONE,"Chiapas, Mexico",modifier,Indirect removal,low,Abundance,0.007,1.67,0.1,Number of bored berries per branch in present vs. absent areas with data from Figure 3.
